unit,x_min,x_max,y_min,y_max
Agrihan,145.53,145.8,18.62,18.91
Aguijan,145.43,145.68,14.73,14.97
Alamagan,145.71,145.95,17.48,17.72
Anatahan,145.54,145.82,16.23,16.47
Arakane,142.66,142.86,15.53,15.74
Asuncion,145.29,145.52,19.57,19.81
Farallon_de_Pajaros,144.79,145.01,20.43,20.65
Guam,144.52,145.06,13.13,13.76
Guguan,145.73,145.95,17.19,17.42
Maug,145.11,145.34,19.91,20.14
Pagan,145.61,145.92,17.94,18.27
Pathfinder,143.05,143.25,16.4,16.6
Rota,145.02,145.39,14.01,14.3
Saipan,145.56,145.93,14.99,15.39
Santa_Rosa,144.32,144.52,12.71,12.91
Sarigan,145.67,145.89,16.59,16.82
Stingray,142.34,142.54,20.39,20.59
Supply,145,145.2,20.04,20.24
Tinian,145.48,145.77,14.83,15.2
Zealandia,145.75,145.95,16.79,17
